precision,metric,accepted,coverage,risk,threshold
q4,mean_nll,33,0.5689655172413793,0.21212121212121213,0.029656090989174752
q4,mean_nll,34,0.5862068965517241,0.20588235294117646,0.02966611940173088
q4,mean_nll,35,0.603448275862069,0.22857142857142856,0.029973320566699
q4,mean_nll,36,0.6206896551724138,0.25,0.03014837215432652
q4,mean_nll,37,0.6379310344827587,0.24324324324324326,0.030184393725397347
q4,mean_nll,38,0.6551724137931034,0.23684210526315788,0.030421844302410524
q4,mean_nll,39,0.6724137931034483,0.23076923076923078,0.03128025280530923
q4,mean_nll,40,0.6896551724137931,0.225,0.031819847036984004
q4,mean_nll,41,0.7068965517241379,0.21951219512195122,0.03308147547464498
q4,mean_nll,42,0.7241379310344828,0.21428571428571427,0.034544607756083555
q4,mean_nll,43,0.7413793103448276,0.23255813953488372,0.03803230832582224
q4,mean_nll,44,0.7586206896551724,0.22727272727272727,0.038212355542862016
q4,mean_nll,45,0.7758620689655172,0.24444444444444444,0.03841968975196083
q4,mean_nll,46,0.7931034482758621,0.2608695652173913,0.04094383855190513
q4,mean_nll,47,0.8103448275862069,0.2765957446808511,0.04112305555253915
q4,mean_nll,48,0.8275862068965517,0.2916666666666667,0.04251073890616946
q4,mean_nll,49,0.8448275862068966,0.30612244897959184,0.044346131798339024
q4,mean_nll,50,0.8620689655172413,0.3,0.045038435266991646
q4,mean_nll,51,0.8793103448275862,0.3137254901960784,0.04649611154318879
q4,mean_nll,52,0.896551724137931,0.3269230769230769,0.04843692361801338
q4,mean_nll,53,0.9137931034482759,0.32075471698113206,0.05048597110281832
q4,mean_nll,54,0.9310344827586207,0.3333333333333333,0.08374336952681156
q4,mean_nll,55,0.9482758620689655,0.34545454545454546,0.09005298581174026
q4,mean_nll,56,0.9655172413793104,0.35714285714285715,0.1288791417130587
q4,mean_nll,57,0.9827586206896551,0.3684210526315789,0.17965948659260844
q4,mean_nll,58,1.0,0.3793103448275862,0.1933824273617599
q8,dsde,1,0.016666666666666666,1.0,0.0
q8,dsde,2,0.03333333333333333,0.5,0.0
q8,dsde,3,0.05,0.3333333333333333,0.0
q8,dsde,4,0.06666666666666667,0.5,0.0
q8,dsde,5,0.08333333333333333,0.6,0.0
q8,dsde,6,0.1,0.5,0.0
q8,dsde,7,0.11666666666666667,0.42857142857142855,0.0
q8,dsde,8,0.13333333333333333,0.5,0.0
q8,dsde,9,0.15,0.4444444444444444,0.0
q8,dsde,10,0.16666666666666666,0.4,0.0
q8,dsde,11,0.18333333333333332,0.36363636363636365,0.0
q8,dsde,12,0.2,0.3333333333333333,0.0
q8,dsde,13,0.21666666666666667,0.3076923076923077,0.0
q8,dsde,14,0.23333333333333334,0.2857142857142857,0.0
q8,dsde,15,0.25,0.26666666666666666,0.0
q8,dsde,16,0.26666666666666666,0.3125,0.0
q8,dsde,17,0.2833333333333333,0.29411764705882354,0.0
q8,dsde,18,0.3,0.2777777777777778,0.0
q8,dsde,19,0.31666666666666665,0.3157894736842105,0.0
q8,dsde,20,0.3333333333333333,0.3,0.0
